Player,Club,Clearances,Clearances,Centre clr,Centre clr,Stoppages,Stoppages,Rebound50,Rebound50,Frees For,Frees For,Frees Agst,Frees Agst,Tackles,Tackles,One %s,One %s,Bounces,Bounces,Inside50,Inside50,Goals,Goals
,,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG
146 Ashley Sharp,FRE,2,0.3,0,0,2,0.3,2,0.3,0,0,5,0.7,12,1.7,4,0.6,1,0.1,3,0.4,4,0.6
147 Jessica Kennedy,CARL,3,0.8,0,0,3,0.8,3,0.8,3,0.8,3,0.8,4,1,0,0,1,0.3,1,0.3,0,0
147 Ainslie Kemp,MELB,3,0.8,0,0,3,0.8,0,0,1,0.3,2,0.5,8,2,0,0,0,0,11,2.8,0,0
149 Kate Shierlaw,CARL,1,0.2,0,0,1,0.2,1,0.2,4,0.7,3,0.5,5,0.8,1,0.2,0,0,5,0.8,2,0.3
149 Harriet Cordner,MELB,4,0.6,1,0.1,3,0.4,1,0.1,1,0.1,8,1.1,23,3.3,3,0.4,0,0,4,0.6,1,0.1
151 Tayla Bresland,FRE,0,0,0,0,0,0,5,0.7,1,0.1,7,1,13,1.9,15,2.1,0,0,3,0.4,1,0.1
151 Kate Tyndall,WB,5,0.7,0,0,5,0.7,0,0,1,0.1,9,1.3,16,2.3,4,0.6,0,0,3,0.4,0,0
153 Clare Lawton,GWS,5,0.7,0,0,5,0.7,6,0.9,7,1,4,0.6,17,2.4,4,0.6,0,0,0,0,0,0
154 Jess Gardner,WB,4,0.8,0,0,4,0.8,1,0.2,4,0.8,6,1.2,13,2.6,2,0.4,0,0,2,0.4,1,0.2
154 Katie Brennan,WB,3,1.5,0,0,3,1.5,0,0,3,1.5,3,1.5,8,4,1,0.5,0,0,5,2.5,3,1.5
154 Brooke Whyte,FRE,0,0,0,0,0,0,5,1.3,2,0.5,2,0.5,5,1.3,3,0.8,0,0,4,1,0,0
154 Alison Brown,CARL,1,0.1,0,0,1,0.1,3,0.4,2,0.3,0,0,10,1.4,0,0,1,0.1,9,1.3,0,0
158 Tayla Thorn,ADEL,2,0.4,0,0,2,0.4,3,0.6,2,0.4,6,1.2,21,4.2,2,0.4,0,0,7,1.4,0,0
159 Lisa Williams,WB,1,0.2,0,0,1,0.2,3,0.5,1,0.2,3,0.5,13,2.2,6,1,0,0,2,0.3,0,0
160 Kira Phillips,FRE,1,0.2,0,0,1,0.2,2,0.4,1,0.2,6,1.2,3,0.6,2,0.4,0,0,5,1,2,0.4
160 Aasta O'Connor,WB,0,0,0,0,0,0,1,0.3,1,0.3,3,0.8,6,1.5,6,1.5,0,0,5,1.3,1,0.3
160 Erin McKinnon,GWS,6,0.9,2,0.3,4,0.6,3,0.4,3,0.4,3,0.4,9,1.3,3,0.4,0,0,3,0.4,0,0
163 Jessica Anderson,MELB,1,0.2,0,0,1,0.2,0,0,3,0.6,2,0.4,10,2,2,0.4,0,0,4,0.8,1,0.2
163 Ellyse Gamble,WB,0,0,0,0,0,0,0,0,1,0.2,3,0.5,9,1.5,7,1.2,0,0,3,0.5,0,0
163 Aliesha Newman,MELB,0,0,0,0,0,0,0,0,1,0.3,2,0.5,4,1,0,0,4,1,5,1.3,2,0.5
163 Demi Okely,FRE,2,0.3,0,0,2,0.3,0,0,1,0.1,8,1.1,7,1,0,0,0,0,7,1,0,0
167 Mia-Rae Clifford,MELB,2,0.3,0,0,2,0.3,6,0.9,4,0.6,3,0.4,12,1.7,13,1.9,0,0,1,0.1,0,0
167 Monique Hollick,ADEL,1,0.3,0,0,1,0.3,2,0.7,1,0.3,0,0,8,2.7,2,0.7,0,0,6,2,0,0
